Date,Time,"CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","VR VCC Temperature (SVID) [°C]","CPU Package Power [W]","IA Cores Power [W]","System Agent Power [W]","Rest-of-Chip Power [W]","PL1 Power Limit (Static) [W]","PL2 Power Limit (Static) [W]","VR VCC Power (SVID POUT) [W]","GPU Temperature [°C]","GPU Hot Spot Temperature [°C]","GPU Thermal Limit [°C]","GPU Power [W]","GPU Rail Powers (avg) [W]","GPU Core (NVVDD) Input Power (sum) [W]","GPU PCIe +12V Input Power [W]","GPU 8-pin #1 Input Power [W]","GPU Misc0 Input Power [W]","GPU Core (NVVDD2) Input Power (sum) [W]","GPU Input PP Source Power (sum) [W]","GPU Core (NVVDD) Output Power [W]","GPU Core (NVVDD) Output Power [W]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usages (avg) [%]","GPU D3D Usage [%]","GPU Video Decode 0 Usage [%]","GPU Video Encode 0 Usage [%]","GPU VR Usage [%]",
26.3.2025,12:48:37.463,39,39,38,38,8.724,1.939,5.068,0.716,202.0,241.0,16.000,43.5,50.7,83.0,13.867,5.821,9.275,2.847,10.721,5.166,8.348,5.235,1.140,3.834,0.0,35.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,
26.3.2025,12:48:38.462,39,39,38,38,8.664,1.961,4.987,0.715,202.0,241.0,24.000,43.5,50.7,83.0,14.382,6.535,6.990,3.868,12.108,7.903,6.297,9.685,1.127,4.306,8.0,11.0,0.0,0.0,9.3,0.1,0.5,0.0,0.0,0.0,
26.3.2025,12:48:39.465,39,39,38,38,11.670,4.828,5.096,0.749,202.0,241.0,16.000,43.5,50.7,83.0,14.881,5.785,9.123,2.811,10.676,5.203,8.220,5.281,1.142,3.823,1.0,25.0,0.0,0.0,9.3,0.4,1.6,0.0,0.0,0.0,
26.3.2025,12:48:40.468,39,39,38,38,11.075,4.279,5.062,0.735,202.0,241.0,16.000,43.5,50.7,83.0,13.566,5.757,9.291,2.726,10.650,5.069,8.366,5.025,1.138,3.790,1.0,16.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,
26.3.2025,12:48:41.470,39,39,38,38,10.449,3.715,5.015,0.719,202.0,241.0,48.000,43.5,50.7,83.0,13.741,5.889,8.783,2.977,10.940,5.668,7.911,6.011,1.119,3.703,2.0,22.0,0.0,0.0,9.3,0.1,0.5,0.0,0.0,0.0,
26.3.2025,12:48:42.473,39,39,38,38,43.960,36.132,5.811,1.017,202.0,241.0,48.000,43.5,50.7,83.0,13.598,5.803,8.939,2.869,10.749,5.392,8.042,5.587,1.125,3.720,1.0,37.0,0.0,0.0,9.3,0.1,0.2,0.0,0.0,0.0,
26.3.2025,12:48:43.462,39,39,38,38,48.528,40.546,5.935,1.047,202.0,241.0,48.000,43.5,50.7,83.0,13.499,5.868,8.787,3.002,10.846,5.573,7.914,5.947,1.123,3.752,1.0,28.0,0.0,0.0,9.3,0.0,0.1,0.0,0.0,0.0,
26.3.2025,12:48:44.466,39,39,38,38,48.537,40.535,5.948,1.048,202.0,241.0,48.000,43.5,50.7,83.0,13.759,5.998,8.621,3.146,11.096,5.920,7.761,6.493,1.121,3.823,1.0,20.0,0.0,0.0,9.3,0.0,0.1,0.0,0.0,0.0,
26.3.2025,12:48:45.474,39,39,38,38,48.436,40.455,5.938,1.041,202.0,241.0,48.000,43.5,50.7,83.0,13.724,5.863,8.905,2.965,10.819,5.475,8.021,5.776,1.130,3.812,1.0,27.0,0.0,0.0,9.3,0.0,0.1,0.0,0.0,0.0,
26.3.2025,12:48:46.463,39,39,38,38,48.440,40.455,5.945,1.038,202.0,241.0,48.000,43.5,50.7,83.0,13.593,5.795,9.400,2.835,10.720,5.081,8.466,5.099,1.123,3.635,1.0,31.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,
26.3.2025,12:48:47.466,39,39,38,38,48.446,40.410,5.980,1.055,202.0,241.0,48.000,43.5,50.7,83.0,13.692,5.731,9.083,2.820,10.602,5.150,8.175,5.261,1.123,3.635,1.0,29.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,
26.3.2025,12:48:48.465,39,39,38,38,48.457,40.432,5.969,1.050,202.0,241.0,24.000,43.5,50.7,83.0,14.028,5.891,9.505,2.825,10.960,5.253,8.555,5.239,1.127,3.668,1.0,19.0,0.0,0.0,9.3,0.1,0.3,0.0,0.0,0.0,
26.3.2025,12:48:49.472,39,39,38,38,20.227,13.034,5.371,0.820,202.0,241.0,16.000,43.5,50.7,83.0,13.894,5.834,9.580,2.826,10.791,5.048,8.628,4.995,1.123,3.684,1.0,34.0,0.0,0.0,9.3,0.1,0.4,0.0,0.0,0.0,
26.3.2025,12:48:50.476,39,39,38,38,8.910,2.148,5.045,0.718,202.0,241.0,16.000,43.5,50.7,83.0,13.767,5.768,9.469,2.763,10.676,4.986,8.532,4.911,1.125,3.681,1.0,35.0,0.0,0.0,9.3,0.0,0.2,0.0,0.0,0.0,
26.3.2025,12:48:51.463,39,39,38,38,8.880,2.130,5.027,0.719,202.0,241.0,16.000,43.5,50.7,83.0,15.098,5.721,9.327,2.751,10.578,4.986,8.400,4.949,1.121,3.660,1.0,11.0,0.0,0.0,9.3,0.0,0.1,0.0,0.0,0.0,
26.3.2025,12:48:52.464,39,39,38,38,8.900,2.171,5.014,0.717,202.0,241.0,16.000,43.5,50.7,83.0,13.848,5.693,9.091,2.748,10.534,5.080,8.178,5.115,1.123,3.673,1.0,33.0,0.0,0.0,9.3,0.0,0.1,0.0,0.0,0.0,
26.3.2025,12:48:53.463,39,39,38,38,9.554,2.811,5.022,0.718,202.0,241.0,24.000,43.5,50.7,83.0,15.133,6.583,7.138,3.848,12.241,7.957,6.430,9.671,1.121,4.259,18.0,9.0,0.0,0.0,9.2,0.4,1.6,0.0,0.0,0.0,
Date,Time,"CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","VR VCC Temperature (SVID) [°C]","CPU Package Power [W]","IA Cores Power [W]","System Agent Power [W]","Rest-of-Chip Power [W]","PL1 Power Limit (Static) [W]","PL2 Power Limit (Static) [W]","VR VCC Power (SVID POUT) [W]","GPU Temperature [°C]","GPU Hot Spot Temperature [°C]","GPU Thermal Limit [°C]","GPU Power [W]","GPU Rail Powers (avg) [W]","GPU Core (NVVDD) Input Power (sum) [W]","GPU PCIe +12V Input Power [W]","GPU 8-pin #1 Input Power [W]","GPU Misc0 Input Power [W]","GPU Core (NVVDD2) Input Power (sum) [W]","GPU Input PP Source Power (sum) [W]","GPU Core (NVVDD) Output Power [W]","GPU Core (NVVDD) Output Power [W]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usages (avg) [%]","GPU D3D Usage [%]","GPU Video Decode 0 Usage [%]","GPU Video Encode 0 Usage [%]","GPU VR Usage [%]",
,,CPU [#0]: Intel Core i5-12400: Enhanced,CPU [#0]: Intel Core i5-12400: Enhanced,CPU [#0]: Intel Core i5-12400: Enhanced,CPU [#0]: Intel Core i5-12400: Enhanced,CPU [#0]: Intel Core i5-12400: Enhanced,CPU [#0]: Intel Core i5-12400: Enhanced,CPU [#0]: Intel Core i5-12400: Enhanced,CPU [#0]: Intel Core i5-12400: Enhanced,CPU [#0]: Intel Core i5-12400: Enhanced,CPU [#0]: Intel Core i5-12400: Enhanced,CPU [#0]: Intel Core i5-12400: Enhanced,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,
