Date,Time,CPU Package [°C],CPU IA Cores [°C],CPU GT Cores (Graphics) [°C],VR VCC Temperature (SVID) [°C],CPU Package Power [W],IA Cores Power [W],System Agent Power [W],Rest-of-Chip Power [W],PL1 Power Limit (Static) [W],PL2 Power Limit (Static) [W],VR VCC Power (SVID POUT) [W],GPU Temperature [°C],GPU Hot Spot Temperature [°C],GPU Thermal Limit [°C],GPU Power [W],GPU Rail Powers (avg) [W],GPU Core (NVVDD) Input Power (sum) [W],GPU PCIe +12V Input Power [W],GPU 8-pin #1 Input Power [W],GPU Misc0 Input Power [W],GPU Core (NVVDD2) Input Power (sum) [W],GPU Input PP Source Power (sum) [W],GPU Core (NVVDD) Output Power [W],GPU Core (NVVDD) Output Power [W],GPU Core Load [%],GPU Memory Controller Load [%],GPU Video Engine Load [%],GPU Bus Load [%],GPU Memory Usage [%],GPU D3D Usages (avg) [%],GPU D3D Usage [%],GPU Video Decode 0 Usage [%],GPU Video Encode 0 Usage [%],GPU VR Usage [%]
26.3.2025,41:34.2,39,39,38,38,42.432,33.681,6.318,1.427,202,241,40,43.5,50.7,83,13.507,5.655,9.013,2.715,10.479,5.069,8.115,5.088,1.123,3.635,2,28,0,0,8.4,0,0.1,0,0,0
26.3.2025,41:35.2,39,39,38,38,42.906,34.151,6.319,1.429,202,241,40,43.5,50.7,83,13.402,5.722,9.113,2.791,10.562,5.097,8.202,5.158,1.119,3.733,1,35,0,0,8.4,0,0,0,0,0
26.3.2025,41:36.3,39,39,38,38,42.666,33.915,6.322,1.429,202,241,40,43.5,50.7,83,13.496,5.804,8.85,2.898,10.736,5.432,7.974,5.675,1.115,3.752,1,27,0,0,8.4,0,0,0,0,0
26.3.2025,41:37.3,39,39,38,38,42.581,33.83,6.319,1.428,202,241,40,43.5,50.7,83,13.569,5.732,9.051,2.765,10.654,5.216,8.142,5.283,1.132,3.611,1,39,0,0,8.4,0,0,0,0,0
26.3.2025,41:38.3,39,39,38,38,42.5,33.742,6.324,1.428,202,241,40,43.5,50.7,83,13.624,5.782,9.283,2.754,10.729,5.156,8.361,5.131,1.181,3.66,1,22,0,0,8.4,0,0,0,0,0
26.3.2025,41:39.3,39,39,38,38,42.831,34.069,6.333,1.429,202,241,40,43.5,50.7,83,13.513,5.652,9.145,2.679,10.469,4.974,8.237,4.922,1.119,3.668,2,35,0,0,8.4,0,0,0,0,0
26.3.2025,41:40.3,39,39,38,38,42.495,33.729,6.334,1.428,202,241,40,43.5,50.7,83,13.502,5.739,9.324,2.73,10.657,5.06,8.402,5,1.117,3.624,2,31,0,0,8.4,0,0.1,0,0,0
26.3.2025,41:41.3,39,39,38,38,42.118,33.365,6.327,1.429,202,241,40,43.5,50.7,83,13.485,5.674,9.163,2.704,10.531,5.035,8.253,4.988,1.111,3.611,1,23,0,0,8.4,0,0,0,0,0
26.3.2025,41:42.3,39,39,38,38,42.119,33.356,6.329,1.429,202,241,40,43.5,50.7,83,13.574,5.684,9.398,2.67,10.564,4.917,8.465,4.774,1.119,3.57,0,30,0,0,8.4,0,0,0,0,0
26.3.2025,41:43.3,39,39,38,38,42.293,33.506,6.348,1.434,202,241,40,43.5,50.7,83,13.466,5.684,9.132,2.694,10.549,5.073,8.221,5.036,1.147,3.622,0,19,0,0,8.4,0,0,0,0,0
26.3.2025,41:44.3,39,39,38,38,42.054,33.282,6.34,1.431,202,241,40,43.5,50.7,83,13.373,5.632,8.906,2.695,10.455,5.122,8.017,5.144,1.123,3.594,0,33,0,0,8.4,0,0,0,0,0
26.3.2025,41:45.3,39,39,38,38,42.251,33.465,6.35,1.429,202,241,40,43.5,50.7,83,13.475,5.694,9.104,2.731,10.574,5.109,8.193,5.123,1.115,3.602,0,37,0,0,8.4,0,0,0,0,0
26.3.2025,41:46.3,39,39,38,38,42.348,33.553,6.358,1.433,202,241,40,43.5,50.7,83,13.505,5.752,9.162,2.719,10.72,5.218,8.252,5.192,1.132,3.622,0,38,0,0,8.4,0,0.1,0,0,0
26.3.2025,41:47.3,39,39,38,38,42.754,33.974,6.348,1.428,202,241,40,43.5,50.7,83,13.698,5.726,9.188,2.779,10.621,5.108,8.265,5.135,1.108,3.605,0,16,0,0,8.4,0,0,0,0,0
26.3.2025,41:48.3,39,39,38,38,42.178,33.38,6.363,1.431,202,241,40,43.5,50.7,83,13.569,5.69,9.245,2.693,10.508,4.951,8.324,4.881,1.341,3.581,0,17,0,0,8.4,0,0.1,0,0,0
26.3.2025,41:49.3,39,39,38,38,42.42,33.631,6.355,1.445,202,241,40,43.5,50.7,83,13.555,5.647,8.972,2.728,10.47,5.083,8.075,5.127,1.113,3.605,0,13,0,0,8.4,0,0.1,0,0,0
26.3.2025,41:50.3,39,39,38,38,42.297,33.508,6.362,1.414,202,241,40,43.5,50.7,83,13.49,5.673,8.928,2.754,10.536,5.181,8.041,5.25,1.115,3.581,0,9,0,0,8.4,0,0.1,0,0,0
26.3.2025,41:51.3,39,39,38,38,42.153,33.36,6.361,1.43,202,241,40,43.5,50.7,83,13.636,5.718,9.249,2.728,10.618,5.071,8.327,5.029,1.111,3.608,0,9,0,0,8.4,0,0.1,0,0,0
26.3.2025,41:52.3,39,39,38,38,42.174,33.385,6.356,1.427,202,241,40,43.5,50.7,83,13.683,5.871,9.688,2.803,10.923,5.109,8.729,4.998,1.111,3.605,0,4,0,0,8.4,0,0,0,0,0
26.3.2025,41:53.3,39,39,38,38,42.436,33.638,6.366,1.43,202,241,40,43.5,50.7,83,13.793,5.788,9.407,2.757,10.774,5.123,8.472,5.07,1.111,3.589,0,7,0,0,8.4,0,0,0,0,0
26.3.2025,41:54.3,39,39,38,38,42.29,33.484,6.37,1.43,202,241,40,43.5,50.7,83,13.564,5.687,9.29,2.692,10.569,4.999,8.367,4.902,1.109,3.57,0,9,0,0,8.4,0,0,0,0,0
26.3.2025,41:55.3,39,39,38,38,42.462,33.653,6.374,1.43,202,241,40,43.5,50.7,83,13.488,5.724,9.353,2.715,10.638,5.034,8.418,4.947,1.109,3.578,0,9,0,0,8.4,0,0,0,0,0
26.3.2025,41:56.3,39,39,38,38,42.421,33.623,6.371,1.428,202,241,40,43.5,50.7,83,13.588,5.783,9.185,2.814,10.741,5.229,8.263,5.296,1.106,3.632,0,14,0,0,8.4,0,0,0,0,0
26.3.2025,41:57.3,39,39,38,38,42.578,33.784,6.365,1.426,202,241,40,43.5,50.7,83,13.638,5.744,9.326,2.706,10.645,5.061,8.39,4.981,1.215,3.632,0,14,0,0,8.4,0,0,0,0,0
